 1.  시·군별  세 대 및 인 구,,,,,,,,,,
2021.12.31.,,,,,,,,,,"(단위 : 세대, 명)"
구분,총인구,,,세  대,내국인,,,등록외국인,,
,계,남,여,,계,남,여,계,남,여
 -일산서구," 300,532 "," 145,741 "," 154,791 "," 117,930 "," 297,553 "," 144,357 "," 153,196 "," 2,979 "," 1,384 "," 1,595 "
남양주시," 740,856 "," 369,120 "," 371,736 ","299,156"," 733,798 ","365,103","368,695"," 7,058 "," 4,017 "," 3,041 "
의정부시," 468,339 "," 230,679 "," 237,660 "," 205,792 "," 463,661 "," 228,538 "," 235,123 "," 4,678 "," 2,141 "," 2,537 "
파주시," 493,503 "," 252,231 "," 241,272 "," 211,916 "," 483,245 "," 245,085 "," 238,160 "," 10,258 "," 7,146 "," 3,112 "
양주시," 243,071 "," 124,729 "," 118,342 "," 102,314 "," 236,368 "," 119,835 "," 116,533 "," 6,703 "," 4,894 "," 1,809 "
구리시," 193,351 "," 95,852 "," 97,499 "," 80,616 "," 191,948 "," 95,172 "," 96,776 "," 1,403 ", 680 , 723 
포천시," 160,209 "," 87,490 "," 72,719 "," 73,584 "," 148,939 "," 78,915 "," 70,024 "," 11,270 "," 8,575 "," 2,695 "
동두천시," 96,860 "," 48,634 "," 48,226 "," 44,369 "," 93,592 "," 46,694 "," 46,898 "," 3,268 "," 1,940 "," 1,328 "
2개군," 106,821 "," 55,542 "," 51,279 "," 53,777 "," 104,985 "," 54,528 "," 50,457 "," 1,836 "," 1,014 ", 822 
가평군," 63,268 "," 32,548 "," 30,720 "," 31,775 "," 62,264 "," 32,129 "," 30,135 "," 1,004 ", 419 , 585 
연천군," 43,553 "," 22,994 "," 20,559 "," 22,002 "," 42,721 "," 22,399 "," 20,322 ", 832 , 595 , 237 
,,,,,,,,,,
★ 읍ㆍ면ㆍ동별 현황,,,,,,,,,,
39개읍," 1,563,063 ","812,246","750,817","666,396"," 1,507,474 ","776,169","731,305"," 55,589 ","36,077","19,512"
99개면," 772,807 ","427,957","344,850","374,473"," 716,266 ","383,379","332,887"," 56,541 ","44,578","11,963"
419개동," 11,589,992 ","5,798,093","5,791,899","4,801,126"," 11,341,710 ","5,667,750","5,673,960"," 248,282 ","130,343","117,939"
