"죄종별(1)",죄종별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
"지능범죄",횡령,50421,2016,744,102,20347,228,658,1013,180,1516,555,197,1020,3926,229,166,69,1569,788,2437,90,972,117,528,313,42,135,22,1,3,4,952,900,144,8438
"지능범죄",배임,3466,141,46,1,151,7,3,5,4,39,20,7,35,1543,36,22,1,-,-,-,4,8,15,43,17,12,7,1,-,-,1,5,-,1,1291
"풍속범죄",소계,23360,2605,2112,-,2203,36,52,117,16,342,187,661,526,1996,19,2,32,493,414,375,21,205,168,6,41,5,39,4,14,-,-,45,822,258,9544
"풍속범죄",성풍속범죄,16969,2316,1486,-,2132,36,45,114,15,186,130,611,206,383,4,1,1,492,414,373,10,196,168,2,41,4,24,-,7,-,-,42,822,150,6558
"풍속범죄",도박범죄,6391,289,626,-,71,-,7,3,1,156,57,50,320,1613,15,1,31,1,-,2,11,9,-,4,-,1,15,4,7,-,-,3,-,108,2986
"특별경제범죄",소계,40708,1278,874,28,4104,50,373,1381,58,2187,686,604,4825,5978,517,355,25,191,17,381,38,57,80,650,564,50,112,10,2,-,5,187,4,91,14946
"마약범죄",소계,8088,963,1430,7,1719,-,1,17,-,98,30,934,148,152,67,2,6,55,1,127,1,17,7,52,311,3,278,-,-,1,-,90,26,5,1540
"보건범죄",소계,16936,1426,874,5,919,1,59,52,1,780,454,164,5865,841,384,3,4,9,-,7,29,49,7,7,964,59,85,2,-,1,2,15,-,41,3827
"환경범죄",소계,3656,12,19,3,599,1,1,-,-,43,5,5,2,168,832,262,24,6,1,18,13,5,2,-,7,1,228,170,-,-,13,9,-,-,1207
"교통범죄",소계,308634,105,38,5327,300530,1,1,4,-,36,79,7,14,74,9,21,3,7,-,63,4,9,4,1,3,3,56,132,1,-,1,769,-,-,1332
"노동범죄",소계,406,3,5,-,21,-,-,1,-,1,4,10,44,134,19,7,-,-,1,1,-,-,4,-,3,-,3,4,-,-,-,-,-,-,141
"안보범죄",소계,206,2,6,-,32,-,-,1,-,-,-,3,4,49,2,-,-,-,-,2,-,-,1,3,-,-,-,1,-,-,-,-,-,1,99
"선거범죄",소계,274,6,6,-,101,-,-,-,-,3,-,-,7,54,-,-,-,1,-,-,1,-,1,1,-,3,-,-,-,-,-,-,-,-,90
"병역범죄",소계,1823,128,244,1,76,-,-,-,-,1,-,5,-,248,5,-,-,3,1,1,-,6,10,-,4,-,1,-,76,-,-,-,-,-,1013
"기타범죄",소계,243082,23270,16456,1225,44243,77,588,1871,67,2620,1336,2766,11028,20274,1742,1067,338,3218,173,1743,259,737,1759,209,1826,510,2782,15713,125,33,72,1791,172,943,82049
