"죄종별(1)",죄종별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
"죄종별(1)",죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
"강력범죄",기타 강간·강제추행등,238,39,19,11,12,4,9,5,1,3,-,-,2,3,1,1,3,-,2,2,6,3,1,-,1,1,-,-,6,-,1,-,-,2,-,-,6,-,-,-,1,4,1,-,1,2,-,-,1,1,-,-,2,-,3,1,2,1,1,7,-,1,1,3,-,-,3,-,1,1,-,-,-,1,1,3,3,2,5,-,1,3,5,-,-,2,1,29
"강력범죄",방화,1046,186,54,54,57,22,39,27,2,9,-,3,10,-,5,6,12,1,6,22,28,12,17,6,9,6,3,2,12,-,13,4,19,18,1,2,15,3,2,-,1,8,3,3,3,18,2,2,2,5,6,3,7,5,14,7,3,3,3,10,3,2,2,8,5,3,5,4,5,3,-,1,2,-,2,9,3,10,4,3,9,5,25,5,5,11,-,117
"절도범죄",소계,166409,33529,12667,9306,8175,4884,5044,3155,1043,2090,120,938,945,482,663,1392,1288,251,3030,2697,4201,1854,2638,709,1461,515,318,903,2242,172,1183,600,1093,1987,333,721,2040,732,226,178,267,1057,841,83,388,2973,636,65,278,421,506,272,541,1132,2726,1055,168,232,905,2111,443,385,399,1064,909,885,910,909,1699,392,137,275,415,182,359,2162,763,2573,249,365,1067,1857,3386,412,860,2194,38,8658
"폭력범죄",소계,232661,41748,16129,11002,14983,6617,7139,5053,867,4015,150,1488,1951,739,945,2079,2291,480,4424,3522,5649,2784,4167,1129,2355,955,572,1268,2865,385,2691,1237,1817,3391,737,1038,3579,1013,498,358,596,1564,1200,264,598,3864,888,95,387,435,835,441,824,1393,2728,1343,288,378,1381,2515,433,654,501,1491,1387,1385,1203,1008,1426,606,251,320,691,399,463,2013,1057,2539,373,443,1537,1733,4447,736,1349,3763,378,13948
"폭력범죄",상해,28453,3153,2652,1687,1675,750,816,794,138,317,17,139,141,85,75,164,260,55,334,396,396,206,342,130,223,74,78,146,217,40,204,111,139,398,120,58,290,158,82,36,99,229,180,58,128,661,104,19,92,86,155,85,133,190,360,166,47,51,118,327,75,156,58,178,195,220,149,192,234,97,51,78,108,101,104,384,176,422,85,120,201,292,724,190,244,428,15,2792
"폭력범죄",폭행,115942,23324,7711,5361,7856,3592,3788,2501,315,2171,63,775,1113,362,500,1177,1140,230,2322,1899,2908,1413,2216,545,1182,496,224,652,1406,198,1529,663,919,1643,317,555,1968,462,226,181,280,697,536,113,258,1689,424,32,121,129,362,182,318,580,1130,681,148,174,765,1222,183,266,208,777,638,563,559,444,488,237,113,105,324,146,178,815,523,1247,114,169,744,797,2040,306,572,1855,37,5750
"폭력범죄",체포·감금,1165,233,65,40,95,50,35,28,5,25,-,2,5,7,2,7,14,4,15,15,31,5,20,6,6,5,6,6,12,2,8,-,11,15,3,7,17,4,5,-,4,9,9,-,3,24,3,1,2,1,5,2,5,10,16,10,1,2,9,17,2,5,3,6,9,5,4,5,10,-,2,1,2,4,1,14,4,15,-,2,8,11,15,1,3,10,2,72
"폭력범죄",협박,21058,3806,1374,895,1273,457,626,403,111,443,19,162,222,87,75,200,222,53,404,375,533,348,389,113,224,85,71,115,306,54,193,105,178,343,76,94,375,62,31,37,66,162,111,35,44,274,62,5,47,34,81,37,77,153,249,101,29,44,83,200,40,75,63,128,126,142,85,75,124,60,18,34,47,33,31,117,104,197,57,42,131,191,333,57,101,415,74,1325
"폭력범죄",약취·유인,240,54,12,4,17,8,9,5,3,3,-,1,1,-,1,4,6,-,8,6,2,2,1,2,5,3,1,2,3,-,3,1,4,3,1,-,3,-,-,-,-,3,-,-,3,4,1,-,2,-,-,1,2,2,2,1,-,-,-,1,-,1,1,1,-,-,3,3,4,-,-,1,-,-,2,5,-,1,-,-,1,1,2,1,-,4,-,9
"폭력범죄",폭력행위등,6484,932,483,272,456,195,156,185,19,117,7,50,30,32,14,25,74,22,119,80,123,61,138,19,84,18,10,28,60,2,57,44,56,73,19,42,78,36,19,5,18,59,32,8,15,139,20,6,12,21,35,22,15,64,104,50,7,19,44,105,18,6,23,68,63,50,35,27,59,21,4,7,21,16,9,111,34,53,16,15,52,49,142,30,44,106,25,345
